uri,nome,siglaSexo,dataNascimento,ufNascimento
https://dadosabertos.camara.leg.br/api/v2/deputados/160552,Danrlei de Deus Hinterholz,M,1973-04-18,RS
https://dadosabertos.camara.leg.br/api/v2/deputados/116379,Darci de Matos,M,1961-11-08,PR
https://dadosabertos.camara.leg.br/api/v2/deputados/204511,David Soares,M,1973-12-21,RJ
https://dadosabertos.camara.leg.br/api/v2/deputados/220659,Dayany Bittencourt,F,1981-09-13,CE
https://dadosabertos.camara.leg.br/api/v2/deputados/220539,Defensor Stélio Dener,M,1972-11-16,RR
https://dadosabertos.camara.leg.br/api/v2/deputados/220565,Delegada Adriana Accorsi,F,1973-03-17,GO
https://dadosabertos.camara.leg.br/api/v2/deputados/220625,Delegada Ione,F,1974-03-20,MG
https://dadosabertos.camara.leg.br/api/v2/deputados/220561,Delegada Katarina,F,1973-10-05,SE
https://dadosabertos.camara.leg.br/api/v2/deputados/220642,Delegado Bruno Lima,M,1986-08-25,SP
https://dadosabertos.camara.leg.br/api/v2/deputados/220673,Delegado Caveira,M,1979-04-27,GO
https://dadosabertos.camara.leg.br/api/v2/deputados/220649,Delegado da Cunha,M,1977-10-14,SP
https://dadosabertos.camara.leg.br/api/v2/deputados/178908,Delegado Éder Mauro,M,1960-12-14,PA
https://dadosabertos.camara.leg.br/api/v2/deputados/220583,Delegado Fabio Costa,M,1980-10-15,PE
https://dadosabertos.camara.leg.br/api/v2/deputados/204512,Delegado Marcelo Freitas,M,1976-03-04,MG
https://dadosabertos.camara.leg.br/api/v2/deputados/220701,Delegado Matheus Laiola,M,1982-12-24,SP
https://dadosabertos.camara.leg.br/api/v2/deputados/220652,Delegado Palumbo,M,1974-08-16,SP
https://dadosabertos.camara.leg.br/api/v2/deputados/220654,Delegado Paulo Bilynskyj,M,1987-03-10,SP
https://dadosabertos.camara.leg.br/api/v2/deputados/220619,Delegado Ramagem,M,1972-05-08,RJ
https://dadosabertos.camara.leg.br/api/v2/deputados/228272,Délio Pinheiro,M,1977-09-27,MG
https://dadosabertos.camara.leg.br/api/v2/deputados/220705,Deltan Dallagnol,M,1980-01-15,PR
https://dadosabertos.camara.leg.br/api/v2/deputados/220553,Denise Pessôa,F,1983-06-17,RS
https://dadosabertos.camara.leg.br/api/v2/deputados/220689,Detinha,F,1979-01-25,CE
https://dadosabertos.camara.leg.br/api/v2/deputados/160588,Diego Andrade,M,1977-08-08,MG
https://dadosabertos.camara.leg.br/api/v2/deputados/220691,Diego Coronel,M,1983-01-22,BA
https://dadosabertos.camara.leg.br/api/v2/deputados/178929,Diego Garcia,M,1984-10-10,PR
https://dadosabertos.camara.leg.br/api/v2/deputados/73768,Dilceu Sperafico,M,1948-01-26,RS
https://dadosabertos.camara.leg.br/api/v2/deputados/220671,Dilvanda Faro,F,1969-05-08,PA
https://dadosabertos.camara.leg.br/api/v2/deputados/160599,Dimas Fabiano,M,1973-05-23,RJ
https://dadosabertos.camara.leg.br/api/v2/deputados/220602,Dimas Gadelha,M,1975-05-03,PB
https://dadosabertos.camara.leg.br/api/v2/deputados/143632,Domingos Neto,M,1988-04-29,CE
https://dadosabertos.camara.leg.br/api/v2/deputados/160758,Domingos Sávio,M,1957-03-25,MG
https://dadosabertos.camara.leg.br/api/v2/deputados/220573,Dorinaldo Malafaia,M,1976-02-23,AP
https://dadosabertos.camara.leg.br/api/v2/deputados/227433,Douglas Viegas,M,1979-06-19,SP
https://dadosabertos.camara.leg.br/api/v2/deputados/204450,Doutor Luizinho,M,1973-12-15,RJ
https://dadosabertos.camara.leg.br/api/v2/deputados/227401,Dr Fabio Rueda,M,1977-07-17,PE
https://dadosabertos.camara.leg.br/api/v2/deputados/227991,Dr Flávio,M,1971-02-25,MG
https://dadosabertos.camara.leg.br/api/v2/deputados/221339,Dr. Benjamim,M,1973-02-07,PR
https://dadosabertos.camara.leg.br/api/v2/deputados/220614,Dr. Daniel Soranz,M,1979-02-16,RJ
https://dadosabertos.camara.leg.br/api/v2/deputados/220610,Dr. Fernando Máximo,M,1979-10-04,GO
https://dadosabertos.camara.leg.br/api/v2/deputados/220688,Dr. Francisco,M,1979-10-14,PI
https://dadosabertos.camara.leg.br/api/v2/deputados/204518,Dr. Frederico,M,1977-03-24,RJ
https://dadosabertos.camara.leg.br/api/v2/deputados/212625,Dr. Gonçalo,M,1953-07-08,MA
https://dadosabertos.camara.leg.br/api/v2/deputados/220570,Dr. Ismael Alexandrino,M,1983-07-26,GO
https://dadosabertos.camara.leg.br/api/v2/deputados/204481,Dr. Jaziel,M,1961-05-03,CE
https://dadosabertos.camara.leg.br/api/v2/deputados/204351,Dr. Luiz Ovando,M,1949-09-25,MS
https://dadosabertos.camara.leg.br/api/v2/deputados/228616,Dr. Remy Soares,M,1990-10-04,MA
https://dadosabertos.camara.leg.br/api/v2/deputados/220528,Dr. Victor Linhalis,M,1986-01-02,ES
https://dadosabertos.camara.leg.br/api/v2/deputados/204412,Dr. Zacharias Calil,M,1953-11-05,GO
https://dadosabertos.camara.leg.br/api/v2/deputados/220674,Dra. Alessandra Haber,F,1988-09-15,PA
https://dadosabertos.camara.leg.br/api/v2/deputados/230088,Dra. Mayra Pinheiro,F,1966-11-21,CE
